"ZONENAME","ZONECODE","WOREDANAME","WOREDACODE","Year","REGIONCODE","RK_NAME","WHEATAREA","WHEATOUTPUT","WHEATDAMAGEAREA_P","WHEATDAMAGE_DROUGHT_AREA_P","WHEATOPH_W"
"Siliti",720,"MIRAB AZERNET BERBERE",72004,"01-01-2010",7,"MEGO TERARA",0.893593993037939,12.3317001610994,0.143272563815117,0,13.8001155853271
"Siliti",720,"MIRAB AZERNET BERBERE",72004,"01-01-2011",7,"MEGO TERARA",0.0589239997789264,1.01348999142647,0.0340947657823563,0,17.1999530792236
"Siliti",720,"MIRAB AZERNET BERBERE",72004,"01-01-2014",7,"MEGO TERARA",0.129550993442535,1.55963003635406,0,0,12.0387344360352
"Siliti",720,"MIRAB AZERNET BERBERE",72004,"01-01-2010",7,"JIRO",2.9971540234983,39.2627001106739,0.216081589460373,0,13.0999937057495
"Siliti",720,"MIRAB AZERNET BERBERE",72004,"01-01-2011",7,"JIRO",4.51906599476933,139.187239527702,0.0486118942499161,0,30.8000011444092
"Siliti",720,"MIRAB AZERNET BERBERE",72004,"01-01-2012",7,"JIRO",4.18217498995364,48.9314202442765,0,0,11.6999931335449
"Siliti",720,"MIRAB AZERNET BERBERE",72004,"01-01-2013",7,"JIRO",1.98885101778433,61.5962995886803,0,0,30.970796585083
"Siliti",720,"MIRAB AZERNET BERBERE",72004,"01-01-2014",7,"JIRO",0.820690989494324,12.4602600336075,0.224044620990753,0,15.1826448440552
"Siliti",720,"MIRAB AZERNET BERBERE",72004,"01-01-2015",7,"JIRO",2.96043501934037,150.357520252466,0.0843360871076584,0.0402700640261173,50.7889938354492
"SHEKA",708,"YEKI",70803,"01-01-2011",7,"YEKI",0.0366070009768009,0.237949997186661,0,0,6.50012254714966
"SHEKA",708,"ANDERACHA",70802,"01-01-2010",7,"GOJA",0.0535279996693134,1.24720001220703,0,0,23.299955368042
"SHEKA",708,"ANDERACHA",70802,"01-01-2012",7,"GOJA",0.106328997761011,1.7969599366188,0,0,16.8999996185303
"SHEKA",708,"ANDERACHA",70802,"01-01-2010",7,"GEBINA",0.501500010490417,3.31000000238419,0.0326709859073162,0,6.6001992225647
"SHEKA",708,"ANDERACHA",70802,"01-01-2011",7,"GEBINA",0.0982019975781441,0.864180028438568,0,0,8.80002498626709
"SHEKA",708,"ANDERACHA",70802,"01-01-2012",7,"GEBINA",0.233220003545284,3.63822990655899,0,0,15.5999908447266
"SHEKA",708,"ANDERACHA",70802,"01-01-2013",7,"GEBINA",0.0496469996869564,0.819180011749268,0,0,16.5000915527344
"SHEKA",708,"ANDERACHA",70802,"01-01-2014",7,"GEBINA",0.152897000312805,3.47076010704041,0,0,22.699987411499
"SHEKA",708,"ANDERACHA",70802,"01-01-2015",7,"GEBINA",0.0324149988591671,0.359820008277893,0.950000047683716,0,11.100417137146
"SHEKA",708,"ANDERACHA",70802,"01-01-2010",7,"YOKO CHICHI",0.11956799775362,1.18369996547699,0,0,9.89980602264404
"Bench Maji",711,"Shay Bench",71104,"01-01-2010",7,"Kulegacha",2.19539798237383,24.1493999958038,0,0,11.0000104904175
"Bench Maji",711,"Shay Bench",71104,"01-01-2011",7,"Kulegacha",0.714297987520695,9.7858898639679,0,0,13.7000102996826
"Bench Maji",711,"Shay Bench",71104,"01-01-2012",7,"Kulegacha",2.2503070011735,35.5548503398895,0,0,15.8000001907349
"Bench Maji",711,"Shay Bench",71104,"01-01-2013",7,"Kulegacha",1.63167399168015,30.6754695177078,0.0354698300361633,0,18.7999992370605
