Year,REGIONCODE,ZONECODE,RK_NAME,WHEATAREA,WHEATOUTPUT,WHEATDAMAGE_WEATHER_AREA_P,WHEATDAMAGE_PESTS_AREA_P,WHEATDAMAGE_DROUGHT_AREA_P,WHEATOPH_W,WHEATDAMAGEAREA
2011,1,101,Adiawuala,0,0,,,,,0
2012,1,101,Adiawuala,0,0,,,,,0
2013,1,101,Adiawuala,0,0,,,,,0
2014,1,101,Adiawuala,0,0,,,,,0
2015,1,101,Adiawuala,0,0,,,,,0
2011,1,101,Shemblina,0,0,,,,,0
2012,1,101,Shemblina,0,0,,,,,0
2013,1,101,Shemblina,0,0,,,,,0
2014,1,101,Shemblina,0,0,,,,,0
2015,1,101,Shemblina,0,0,,,,,0
2011,1,101,Mentebteb,0,0,,,,,0
2012,1,101,Mentebteb,0,0,,,,,0
2013,1,101,Mentebteb,0,0,,,,,0
2014,1,101,Mentebteb,0,0,,,,,0
2015,1,101,Mentebteb,0,0,,,,,0
2011,1,101,Zabangedena,0,0,,,,,0
2012,1,101,Zabangedena,0,0,,,,,0
2013,1,101,Zabangedena,0,0,,,,,0
2014,1,101,Zabangedena,0,0,,,,,0
2015,1,101,Zabangedena,0,0,,,,,0
2011,1,101,Adikelite,0,0,,,,,0
2012,1,101,Adikelite,0,0,,,,,0
2013,1,101,Adikelite,0,0,,,,,0
2014,1,101,Adikelite,0,0,,,,,0
2015,1,101,Adikelite,0,0,,,,,0
2011,1,101,Adinebereid,0,0,,,,,0
2012,1,101,Adinebereid,0,0,,,,,0
2013,1,101,Adinebereid,0,0,,,,,0
2014,1,101,Adinebereid,0,0,,,,,0
2015,1,101,Adinebereid,0,0,,,,,0
2011,1,101,Adi Gedena,0,0,,,,,0
2012,1,101,Adi Gedena,.0063820001669228,.0178699996322393,0,0,0,2.8000627,0
2013,1,101,Adi Gedena,0,0,,,,,0
2014,1,101,Adi Gedena,0,0,,,,,0
2015,1,101,Adi Gedena,0,0,,,,,0
2011,1,101,Medebay Terer,0,0,,,,,0
2012,1,101,Medebay Terer,0,0,,,,,0
2013,1,101,Medebay Terer,0,0,,,,,0
2014,1,101,Medebay Terer,0,0,,,,,0
2015,1,101,Medebay Terer,0,0,,,,,0
2011,1,101,Adi Abagi,0,0,,,,,0
2012,1,101,Adi Abagi,0,0,,,,,0
2013,1,101,Adi Abagi,0,0,,,,,0
2014,1,101,Adi Abagi,0,0,,,,,0
2015,1,101,Adi Abagi,0,0,,,,,0
2011,1,101,Stahayu,0,0,,,,,0
2012,1,101,Stahayu,0,0,,,,,0
2013,1,101,Stahayu,0,0,,,,,0
2014,1,101,Stahayu,0,0,,,,,0
2015,1,101,Stahayu,0,0,,,,,0
2011,1,101,Adi Beareji,.0131259998306632,.1811400055885315,0,1,0,13.800092,.0131259998306632
2012,1,101,Adi Beareji,0,0,,,,,0
2013,1,101,Adi Beareji,0,0,,,,,0
2014,1,101,Adi Beareji,0,0,,,,,0
2015,1,101,Adi Beareji,0,0,,,,,0
2011,1,101,Emba Tsehidi,0,0,,,,,0
2012,1,101,Emba Tsehidi,0,0,,,,,0
2013,1,101,Emba Tsehidi,.082396999001503,.8631399869918823,0,0,0,10.475381,0
2014,1,101,Emba Tsehidi,0,0,,,,,0
2015,1,101,Emba Tsehidi,0,0,,,,,0
2011,1,101,Adi Geshei,0,0,,,,,0
2012,1,101,Adi Geshei,0,0,,,,,0
2013,1,101,Adi Geshei,0,0,,,,,0
2014,1,101,Adi Geshei,0,0,,,,,0
2015,1,101,Adi Geshei,0,0,,,,,0
2011,1,101,Kibrto,0,0,,,,,0
2012,1,101,Kibrto,0,0,,,,,0
2013,1,101,Kibrto,0,0,,,,,0
2014,1,101,Kibrto,0,0,,,,,0
2015,1,101,Kibrto,0,0,,,,,0
2011,1,101,Adi Tsegora,0,0,,,,,0
2012,1,101,Adi Tsegora,.2573749925941229,4.658479899168015,0,0,0,18.099972,0
2013,1,101,Adi Tsegora,0,0,,,,,0
2014,1,101,Adi Tsegora,0,0,,,,,0
2015,1,101,Adi Tsegora,0,0,,,,,0
2011,1,101,Mintil,0,0,,,,,0
2012,1,101,Mintil,0,0,,,,,0
2013,1,101,Mintil,0,0,,,,,0
2014,1,101,Mintil,0,0,,,,,0
2015,1,101,Mintil,0,0,,,,,0
2011,1,101,SEKELA KOYITSA,.1782800033688545,2.460260033607483,0,0,0,13.799977,0
2012,1,101,SEKELA KOYITSA,.0408239997923374,1.073670029640198,0,0,0,26.299971,0
2013,1,101,SEKELA KOYITSA,.0210159998387098,.2412199974060059,0,0,0,11.477921,0
2014,1,101,SEKELA KOYITSA,.8954650163650513,18.424560546875,0,0,0,20.575411,0
2015,1,101,SEKELA KOYITSA,0,0,,,,,0
2011,1,101,MAY ADIRASHA,.0818039998412132,1.128900051116943,1,0,0,13.800059,.0818039998412132
2012,1,101,MAY ADIRASHA,0,0,,,,,0
2013,1,101,MAY ADIRASHA,0,0,,,,,0
2014,1,101,MAY ADIRASHA,0,0,,,,,0
2015,1,101,MAY ADIRASHA,.2367819994688034,4.757070064544678,0,0,0,20.090506,0
2011,1,101,BELES,0,0,,,,,0
2012,1,101,BELES,0,0,,,,,0
2013,1,101,BELES,0,0,,,,,0
2014,1,101,BELES,0,0,,,,,0
2015,1,101,BELES,0,0,,,,,0
2011,1,101,HITSATS,0,0,,,,,0
