"ZONENAME","Year","sum_WHEATOUTPUT"
"Arsi","01-01-2010",8402.21070180833
"Arsi","01-01-2011",9756.32669944316
"Arsi","01-01-2012",9498.84016398713
"Arsi","01-01-2013",11359.2186107337
"Arsi","01-01-2014",11983.1246194988
"Arsi","01-01-2015",10113.4500451609
"Bale","01-01-2010",8020.09331341088
"Bale","01-01-2011",7551.3703327924
"Bale","01-01-2012",10131.7056749016
"Bale","01-01-2013",10755.7385831773
"Bale","01-01-2014",11303.21447137
"Bale","01-01-2015",9842.2333362177
"East Shewa","01-01-2010",2607.83820438711
"East Shewa","01-01-2011",3801.65664652735
"East Shewa","01-01-2012",4294.49151531979
"East Shewa","01-01-2013",4251.97113769129
"East Shewa","01-01-2014",4839.53410235723
"East Shewa","01-01-2015",5716.27454587445
"North Shewa","01-01-2010",5206.88749879971
"North Shewa","01-01-2011",4739.41847148119
"North Shewa","01-01-2012",5564.67478390643
"North Shewa","01-01-2013",6996.43744376116
"North Shewa","01-01-2014",7624.98035234585
"North Shewa","01-01-2015",6753.4789876492
"West Arsi","01-01-2010",5016.89068712853
"West Arsi","01-01-2011",6601.72692476586
"West Arsi","01-01-2012",7515.16313352901
"West Arsi","01-01-2013",7785.88158614933
"West Arsi","01-01-2014",8260.39580795914
"West Arsi","01-01-2015",7470.51873289421
"Bottom 50 Zones","01-01-2010",35419.9261930855
"Bottom 50 Zones","01-01-2011",34248.1396023014
"Bottom 50 Zones","01-01-2012",39218.2262687339
"Bottom 50 Zones","01-01-2013",43012.5872000915
"Bottom 50 Zones","01-01-2014",47319.0975835351
"Bottom 50 Zones","01-01-2015",39857.6769888261
